metric,k,value,ci_lo,ci_hi
silhouette,2,0.3639083197325087,0.24407114383894687,0.7623907352559003
silhouette,3,0.2948869594231364,0.2627299936255761,0.3286593277539782
silhouette,4,0.30236172664065747,0.25034422229956876,0.3375145410232408
silhouette,5,0.2962325116578284,0.24196415012966976,0.3419109950594715
silhouette,6,0.2800821501113846,0.23693229597763313,0.34220422477128914
gap,2,0.16147731721880998,0.15573463461217837,0.16721999982544158
gap,3,0.35176171616021534,0.34062015794345907,0.3629032743769716
gap,4,0.47677703714184005,0.46040300472997514,0.49315106955370497
gap,5,0.5374784087119941,0.527282551785386,0.5476742656386023
gap,6,0.5691179270812592,0.5558658688623139,0.5823699853002045
ari_stability,3,0.9990035067949149,0.9941217070256969,1.0038853065641329
ari_stability,4,0.9855478923302251,0.9690834201792087,1.0020123644812415
