factor,mesura,p_value,statistic,effect_size
gender,H(decisió),0.21191630006562312,9724.5,0.09043507512895269
gender,H(canvi),0.9758967437088809,8938.0,0.002242655303879794
gender,w_R,0.0006882133263989857,11108.5,0.2456268221574344
gender,w_MI,0.0007039589388295818,6731.5,-0.24517829109665845
gender,w_WSLS,0.0006804638626966969,6725.5,-0.24585108768782238
age,H(decisió),0.9864190315753235,0.6334809934626713,-0.016053378700504887
age,H(canvi),0.55890640020125,3.934348712100354,-0.003917835617278109
age,w_R,0.27833578249449137,6.2975201284030895,0.004770294589717241
age,w_MI,0.27738746815019627,6.3080517971352315,0.004809013960055998
age,w_WSLS,0.27957126148382766,6.2838427133426284,0.0047200099755243695
education,H(decisió),0.26613979644278374,6.435247504512166,0.005238129578511554
education,H(canvi),0.2745045742908169,6.34024822808648,0.0048914168908265705
education,w_R,0.15324452020670937,8.054739449556209,0.011148684122467915
education,w_MI,0.15418377284736018,8.037449142461046,0.011085580811901629
education,w_WSLS,0.14760621338141888,8.160556456844722,0.011534877579725262
