User_ID,Experiment_number,Round_number,S,T,Game,Action,Opponent_ID,Opponent_Action
2,1,1,6,5,Harmony,C,7,C
2,1,2,6,8,Harmony,D,17,C
2,1,3,6,15,Snow Drift,D,22,C
2,1,4,4,6,Stag-Hunt,D,40,C
2,1,5,9,9,Harmony,C,41,C
2,1,6,6,11,Snow Drift,D,52,C
2,1,7,6,6,Harmony,C,63,C
2,1,8,0,10,border Stag-Hunt/Prisoner's Dilemma,D,79,D
2,1,9,9,12,Snow Drift,D,83,D
2,1,10,5,10,center of the TS plane,D,92,C
2,1,11,8,6,Harmony,C,107,C
2,1,12,6,9,Harmony,D,111,D
2,1,13,2,7,Stag-Hunt,D,129,D
2,1,14,2,12,Prisoner's Dilemma,D,133,D
3,1,1,4,9,Stag-Hunt,C,4,D
3,1,2,3,15,Prisoner's Dilemma,C,11,C
3,1,3,6,15,Snow Drift,C,21,D
3,1,4,3,6,Stag-Hunt,C,35,D
3,1,5,1,6,Stag-Hunt,C,50,C
3,1,6,6,7,Harmony,C,58,D
3,1,7,1,9,Stag-Hunt,C,67,D
3,1,8,5,6,border Harmony/Stag-Hunt,C,77,C
3,1,9,5,6,border Harmony/Stag-Hunt,C,81,D
3,1,10,10,5,Harmony,C,94,C
3,1,11,5,15,border Snow Drift/Prisoner's Dilemma,C,101,D
3,1,12,2,11,Prisoner's Dilemma,C,118,D
3,1,13,8,5,Harmony,C,127,C
3,1,14,4,8,Stag-Hunt,D,137,D
4,1,1,5,14,border Snow Drift/Prisoner's Dilemma,C,6,D
4,1,2,10,7,Harmony,C,14,C
4,1,3,1,13,Prisoner's Dilemma,C,24,C
4,1,4,8,5,Harmony,C,33,C
4,1,5,1,12,Prisoner's Dilemma,D,44,D
4,1,6,9,11,Snow Drift,C,54,D
4,1,7,4,6,Stag-Hunt,C,65,C
4,1,8,6,14,Snow Drift,D,75,D
4,1,9,7,14,Snow Drift,C,90,D
4,1,10,8,7,Harmony,C,97,C
4,1,11,8,6,Harmony,C,108,C
4,1,12,0,9,Stag-Hunt,D,120,C
4,1,13,4,8,Stag-Hunt,D,125,C
4,1,14,2,12,Prisoner's Dilemma,D,134,D
5,1,1,5,14,border Snow Drift/Prisoner's Dilemma,D,5,C
5,1,2,8,14,Snow Drift,D,15,C
5,1,3,9,15,Snow Drift,D,25,D
5,1,4,8,13,Snow Drift,C,38,D
5,1,5,9,9,Harmony,C,42,C
5,1,6,9,11,Snow Drift,D,53,C
5,1,7,4,6,Stag-Hunt,C,66,C
5,1,8,7,8,Harmony,C,73,D
5,1,9,5,5,border Harmony/Stag-Hunt,C,86,C
5,1,10,5,10,center of the TS plane,C,91,D
5,1,11,5,15,border Snow Drift/Prisoner's Dilemma,D,102,C
5,1,12,8,9,Harmony,C,116,D
5,1,13,8,7,Harmony,C,121,C
5,1,14,5,8,border Harmony/Stag-Hunt,C,131,C
6,1,1,4,9,Stag-Hunt,D,3,C
6,1,2,7,6,Harmony,C,19,C
6,1,3,7,8,Harmony,D,28,C
6,1,4,3,6,Stag-Hunt,D,36,C
6,1,5,1,6,Stag-Hunt,C,49,C
6,1,6,3,7,Stag-Hunt,D,60,D
6,1,7,9,12,Snow Drift,D,62,D
6,1,8,7,8,Harmony,D,74,C
6,1,9,9,12,Snow Drift,D,84,D
6,1,10,9,7,Harmony,C,96,C
6,1,11,7,10,border Harmony/Snow Drift,D,109,C
6,1,12,1,11,Prisoner's Dilemma,D,113,D
6,1,13,2,7,Stag-Hunt,D,130,D
6,1,14,0,11,Prisoner's Dilemma,C,139,D
7,1,1,2,10,border Stag-Hunt/Prisoner's Dilemma,D,9,C
7,1,2,10,7,Harmony,C,13,C
7,1,3,9,15,Snow Drift,D,26,D
7,1,4,8,13,Snow Drift,D,37,C
7,1,5,1,12,Prisoner's Dilemma,D,43,D
7,1,6,3,7,Stag-Hunt,D,59,D
7,1,7,1,9,Stag-Hunt,D,68,C
7,1,8,7,15,Snow Drift,D,72,D
7,1,9,5,6,border Harmony/Stag-Hunt,D,82,C
7,1,10,2,15,Prisoner's Dilemma,D,99,D
7,1,11,2,8,Stag-Hunt,D,105,D
7,1,12,8,9,Harmony,D,115,C
7,1,13,2,5,Stag-Hunt,D,124,D
7,1,14,0,11,Prisoner's Dilemma,D,140,C
8,1,1,8,12,Snow Drift,D,2,D
