User_ID,Age,Gender,Experiment_number,Earnings
2,50,h,1,110
3,46,h,1,82
4,40,d,1,108
5,11,h,1,127
6,11,h,1,96
7,40,h,1,92
8,11,h,1,77
9,45,h,1,91
10,10,h,1,87
11,39,h,1,92
18,69,h,2,83
19,53,d,2,107
20,69,h,2,95
22,30,d,2,102
23,27,h,2,89
24,33,h,2,73
25,33,d,2,96
26,66,d,2,117
27,68,d,2,94
28,19,h,2,92
29,19,h,2,111
30,15,h,2,93
31,15,h,2,114
32,45,h,3,86
33,40,h,3,116
34,33,h,3,99
35,35,d,3,110
36,44,h,3,1
37,27,d,3,75
38,28,h,3,102
40,10,d,3,91
41,10,d,3,83
42,10,h,3,89
43,10,d,3,110
45,50,h,3,77
47,45,h,3,92
48,27,h,4,109
49,32,h,4,89
51,10,d,4,115
52,30,d,4,88
53,26,h,4,101
54,43,h,4,104
55,12,h,4,101
56,31,h,4,112
57,33,h,4,94
58,10,d,4,95
59,14,d,4,79
60,17,h,4,82
61,16,h,4,81
62,40,h,5,108
63,10,d,5,114
64,37,h,5,104
65,40,h,5,101
66,45,d,5,89
67,34,d,5,89
68,72,h,5,109
69,10,d,5,121
70,50,h,5,83
71,12,h,6,118
72,42,d,6,101
73,11,h,6,65
74,46,d,6,101
75,10,h,6,73
76,11,h,6,78
77,11,h,6,101
78,10,h,6,125
79,10,d,6,97
80,35,d,6,78
81,40,h,6,86
82,39,h,6,79
83,53,h,6,95
84,39,h,6,92
85,38,d,6,120
86,11,d,7,92
87,43,h,7,93
88,10,h,7,97
89,49,h,7,96
90,10,h,7,95
91,10,h,7,85
92,10,h,7,82
93,50,d,7,106
95,33,d,7,111
96,32,h,7,109
97,36,h,7,108
98,32,d,7,92
99,34,h,7,95
100,35,h,7,109
101,19,h,7,77
102,19,h,7,66
103,44,d,7,91
104,40,d,8,90
105,41,h,8,82
106,32,h,9,84
107,64,h,9,101
108,30,d,9,103
109,57,d,9,103
110,46,d,9,114
111,42,h,9,102
112,10,d,9,109
113,11,h,9,87
114,10,h,9,95
115,36,h,9,94
116,37,d,9,96
117,36,d,9,116
118,10,h,9,105
119,42,h,9,104
120,29,d,10,87
121,42,h,10,110
122,29,h,10,132
123,10,h,10,111
124,55,d,10,104
125,56,h,10,103
126,31,h,10,103
127,34,d,10,104
128,10,h,10,86
129,31,h,11,93
130,37,h,11,110
131,37,h,11,107
132,36,h,11,109
133,46,h,11,80
134,16,h,11,111
135,16,d,12,87
136,18,h,12,77
137,25,h,12,89
138,24,h,12,93
139,44,h,12,85
140,45,h,12,92
141,35,h,13,78
142,33,h,13,92
143,34,h,13,115
144,36,h,13,106
145,34,h,13,47
146,40,d,13,90
147,13,h,13,74
148,30,h,13,102
149,10,h,13,112
150,45,h,13,106
151,50,h,13,80
152,50,h,13,97
153,40,h,14,80
154,38,h,14,113
155,39,h,14,106
156,18,d,14,77
157,38,h,14,110
158,12,h,14,104
159,39,d,14,97
160,19,d,14,88
161,26,h,14,93
162,70,h,14,85
163,50,d,14,97
164,14,d,14,83
165,12,h,14,81
166,51,h,14,102
168,12,h,15,39
169,26,d,15,90
170,27,d,15,95
171,29,h,15,107
172,32,h,15,102
173,26,h,15,96
174,35,h,15,110
175,38,d,15,92
176,26,h,15,93
177,27,d,15,92
178,26,h,15,85
179,27,d,15,108
180,26,h,15,103
181,55,h,15,84
186,31,h,16,107
187,31,h,16,99
188,28,h,16,96
190,14,d,17,125
191,37,h,17,118
192,27,d,17,91
193,27,h,17,113
194,29,h,17,113
195,25,h,17,125
196,29,d,17,97
197,27,h,17,99
198,30,h,17,111
199,21,h,18,106
200,28,h,18,90
201,27,h,18,122
202,15,h,18,86
203,22,h,18,102
204,48,h,18,107
205,34,d,18,109
206,45,d,18,92
207,12,h,18,108
208,11,h,18,94
209,11,h,18,83
210,46,h,18,99
211,44,h,18,101
212,34,d,19,83
213,28,h,19,88
214,29,d,19,88
215,10,h,19,107
216,33,h,19,88
217,40,h,19,102
218,27,d,19,84
219,34,d,19,97
220,26,h,19,113
221,27,d,19,78
222,28,h,19,126
223,14,h,19,91
224,33,d,19,112
225,33,h,19,114
226,43,d,19,85
227,32,d,19,107
228,33,h,20,68
229,35,h,20,109
230,10,h,20,96
231,10,h,20,110
232,33,h,20,91
233,16,h,20,89
234,25,d,20,75
235,57,h,20,80
236,27,d,20,114
237,31,h,20,107
238,29,h,20,114
239,24,d,20,122
240,32,h,20,79
241,48,d,20,92
242,48,h,20,93
245,19,d,21,80
246,20,h,21,86
247,23,h,21,100
248,17,h,21,88
249,23,h,21,105
250,45,h,21,105
251,43,d,21,67
252,43,h,21,73
253,28,d,21,85
254,38,h,21,89
255,28,h,21,88
256,10,h,21,107
257,38,h,21,64
258,10,d,21,102
259,37,h,22,130
261,36,h,22,118
263,14,d,42,117
266,45,d,22,96
270,14,h,42,89
272,40,d,22,97
