User_ID,kmeans_cluster,phenotype_kmeans
2,4,Envious
3,3,Trustful
4,1,Pessimist
6,0,Undefined
7,4,Envious
8,2,Optimist
9,4,Envious
10,2,Optimist
11,0,Undefined
19,2,Optimist
20,2,Optimist
23,2,Optimist
24,1,Pessimist
25,2,Optimist
27,2,Optimist
28,3,Trustful
29,2,Optimist
30,4,Envious
31,1,Pessimist
32,3,Trustful
33,1,Pessimist
34,2,Optimist
35,1,Pessimist
37,1,Pessimist
38,4,Envious
40,1,Pessimist
41,1,Pessimist
42,1,Pessimist
43,4,Envious
45,3,Trustful
47,2,Optimist
48,1,Pessimist
49,3,Trustful
51,3,Trustful
52,3,Trustful
53,1,Pessimist
54,4,Envious
56,1,Pessimist
57,2,Optimist
58,0,Undefined
60,2,Optimist
61,3,Trustful
62,4,Envious
63,1,Pessimist
66,3,Trustful
67,3,Trustful
69,4,Envious
71,4,Envious
72,0,Undefined
73,3,Trustful
74,4,Envious
75,3,Trustful
76,3,Trustful
77,4,Envious
78,4,Envious
79,4,Envious
80,2,Optimist
81,2,Optimist
82,0,Undefined
83,3,Trustful
84,4,Envious
85,4,Envious
86,4,Envious
87,4,Envious
88,0,Undefined
89,3,Trustful
90,3,Trustful
91,4,Envious
92,2,Optimist
93,4,Envious
95,2,Optimist
96,2,Optimist
97,2,Optimist
98,4,Envious
99,2,Optimist
100,4,Envious
101,1,Pessimist
102,4,Envious
103,4,Envious
104,4,Envious
105,4,Envious
106,1,Pessimist
107,0,Undefined
108,2,Optimist
109,1,Pessimist
111,2,Optimist
112,2,Optimist
114,0,Undefined
115,4,Envious
116,2,Optimist
117,2,Optimist
118,2,Optimist
119,2,Optimist
120,4,Envious
121,4,Envious
122,4,Envious
123,3,Trustful
124,0,Undefined
125,2,Optimist
126,2,Optimist
127,3,Trustful
128,0,Undefined
129,0,Undefined
131,3,Trustful
135,4,Envious
136,4,Envious
137,2,Optimist
138,4,Envious
139,4,Envious
140,4,Envious
143,3,Trustful
144,4,Envious
146,3,Trustful
148,1,Pessimist
149,4,Envious
150,3,Trustful
151,0,Undefined
152,4,Envious
153,1,Pessimist
154,1,Pessimist
155,2,Optimist
156,4,Envious
157,1,Pessimist
158,4,Envious
159,0,Undefined
160,3,Trustful
161,1,Pessimist
163,1,Pessimist
164,1,Pessimist
165,0,Undefined
166,2,Optimist
169,0,Undefined
170,2,Optimist
171,4,Envious
172,2,Optimist
173,0,Undefined
174,4,Envious
176,2,Optimist
177,2,Optimist
178,2,Optimist
