id,scenario,series,completed,correct_answers,errors,end_date
1,1I,26,1,15,9,2013-12-13 22:17:09
2,2I,22,1,17,8,2013-12-13 22:42:23
3,3I,12,0,-1,-1,NULL
4,4J,29,0,-1,-1,NULL
5,1C,26,1,13,12,2013-12-14 09:04:14
6,2C,30,1,14,11,2013-12-14 09:06:19
7,3I,29,1,11,14,2013-12-14 09:10:11
8,4C,1,1,10,15,2013-12-14 09:12:42
9,1I,19,0,-1,-1,NULL
10,2I,30,1,13,12,2013-12-14 09:28:09
11,3C,21,0,-1,-1,NULL
12,4C,3,0,-1,-1,NULL
13,1I,2,0,-1,-1,NULL
14,2I,15,0,-1,-1,NULL
15,3C,7,0,-1,-1,NULL
16,4J,27,0,-1,-1,NULL
17,1I,13,1,13,12,2013-12-14 09:56:36
18,2I,6,1,16,9,2013-12-14 09:58:35
19,3I,19,1,16,9,2013-12-14 10:02:25
20,4J,29,0,-1,-1,NULL
21,1I,28,1,15,10,2013-12-14 09:56:41
22,2I,2,1,13,12,2013-12-14 09:58:30
23,3I,12,1,16,9,2013-12-14 10:02:27
24,4I,17,0,-1,-1,NULL
25,1I,3,1,13,12,2013-12-14 10:24:50
26,2I,10,1,12,13,2013-12-14 10:20:07
27,3C,1,1,13,12,2013-12-14 10:22:21
28,4I,18,1,9,16,2013-12-14 10:14:34
29,1I,30,1,16,8,2013-12-14 10:15:00
30,2I,12,1,17,8,2013-12-14 10:20:36
31,3I,5,1,13,12,2013-12-14 10:29:07
32,4J,28,1,12,13,2013-12-14 10:24:22
33,1I,10,1,12,13,2013-12-14 10:14:12
34,2I,26,1,13,12,2013-12-14 10:16:37
35,3C,21,1,10,15,2013-12-14 10:18:48
36,4J,22,1,18,7,2013-12-14 10:20:30
37,1C,27,1,16,9,2013-12-14 10:20:58
38,2C,30,0,-1,-1,NULL
39,3I,26,0,-1,-1,NULL
40,4I,15,0,-1,-1,NULL
41,1C,19,1,14,11,2013-12-14 11:21:48
42,2C,2,1,10,15,2013-12-14 11:18:06
43,3C,13,1,15,9,2013-12-14 11:15:53
44,4C,6,1,10,15,2013-12-14 10:18:51
45,1I,25,1,12,13,2013-12-14 10:36:12
46,2I,26,0,-1,-1,NULL
47,3I,23,0,-1,-1,NULL
48,4I,18,0,-1,-1,NULL
49,1I,9,1,16,9,2013-12-14 10:51:51
50,2I,29,1,16,9,2013-12-14 10:54:18
51,3I,16,1,17,8,2013-12-14 10:57:36
52,4C,2,1,15,10,2013-12-14 10:59:18
53,1C,15,1,14,11,2013-12-14 10:50:33
54,2C,12,1,12,13,2013-12-14 10:53:17
55,3I,14,1,16,9,2013-12-14 10:55:47
56,4I,19,1,13,12,2013-12-14 10:57:48
57,1I,28,1,13,11,2013-12-14 10:57:39
58,2I,1,1,18,7,2013-12-14 11:03:04
59,3C,6,1,12,13,2013-12-14 10:54:03
60,4C,8,1,16,9,2013-12-14 11:05:22
61,1C,21,1,12,13,2013-12-14 10:51:30
62,2C,24,1,12,13,2013-12-14 10:53:53
63,3I,3,1,10,15,2013-12-14 10:56:24
64,4I,18,1,12,13,2013-12-14 10:59:31
65,1C,28,1,15,10,2013-12-14 10:51:44
66,2C,24,1,14,11,2013-12-14 10:53:30
67,3C,15,1,10,15,2013-12-14 10:56:56
68,4I,14,1,12,13,2013-12-14 10:59:13
69,1C,19,0,-1,-1,NULL
70,2C,18,1,14,11,2013-12-14 10:54:13
71,3I,25,0,-1,-1,NULL
72,4C,5,0,-1,-1,NULL
73,1I,29,0,-1,-1,NULL
74,2I,5,0,-1,-1,NULL
75,3C,12,0,-1,-1,NULL
76,4I,14,0,-1,-1,NULL
77,1C,24,0,-1,-1,NULL
78,2C,13,1,13,12,2013-12-14 11:04:35
79,3I,20,0,-1,-1,NULL
80,4J,27,0,-1,-1,NULL
81,1I,3,0,-1,-1,NULL
82,2I,20,0,-1,-1,NULL
83,3C,11,0,-1,-1,NULL
84,4I,14,0,-1,-1,NULL
85,1I,24,1,11,12,2013-12-14 11:39:59
86,2I,1,1,16,9,2013-12-14 11:20:41
87,3C,30,1,13,12,2013-12-14 11:23:42
88,4J,21,1,9,16,2013-12-14 11:27:02
89,1I,18,0,-1,-1,NULL
90,2I,8,1,11,14,2013-12-14 11:22:42
91,3I,2,0,-1,-1,NULL
92,4C,4,0,-1,-1,NULL
93,1I,26,1,14,11,2013-12-14 11:34:22
94,2I,27,1,15,9,2013-12-14 11:30:38
95,3C,11,1,8,17,2013-12-14 11:36:35
96,4C,6,1,14,11,2013-12-14 11:40:30
97,1I,1,1,11,14,2013-12-14 11:21:43
98,2I,12,1,16,9,2013-12-14 11:23:14
99,3I,14,1,16,9,2013-12-14 11:24:30
100,4I,17,1,10,15,2013-12-14 11:25:39
101,1C,3,1,10,15,2013-12-14 11:28:00
102,2C,12,1,15,10,2013-12-14 11:30:24
103,3C,5,1,13,12,2013-12-14 11:38:31
104,4C,7,1,12,13,2013-12-14 11:41:20
105,1I,28,1,13,10,2013-12-14 11:27:32
106,2I,11,1,13,14,2013-12-14 11:33:57
107,3I,9,1,17,8,2013-12-14 11:41:04
108,4C,1,1,13,12,2013-12-14 11:45:33
109,1C,9,1,18,7,2013-12-14 11:39:58
110,2C,24,1,12,13,2013-12-14 11:41:41
111,3C,26,1,11,14,2013-12-14 11:42:57
112,4J,30,1,20,9,2013-12-14 11:38:06
113,1C,26,1,10,15,2013-12-14 11:40:04
114,2C,25,1,15,10,2013-12-14 11:44:08
115,3C,20,1,9,16,2013-12-14 11:47:25
116,4J,22,1,13,12,2013-12-14 11:49:52
117,1I,15,0,-1,-1,NULL
118,2I,4,0,-1,-1,NULL
119,3C,30,0,-1,-1,NULL
120,4I,17,0,-1,-1,NULL
121,1C,3,1,14,11,2013-12-14 11:47:11
122,2C,8,0,-1,-1,NULL
123,3I,27,0,-1,-1,NULL
124,4I,14,0,-1,-1,NULL
125,1I,29,1,13,12,2013-12-14 12:16:53
126,2I,20,1,15,10,2013-12-14 12:18:43
127,3C,13,1,9,16,2013-12-14 12:14:54
128,4J,22,1,16,9,2013-12-14 12:12:32
129,1C,30,1,16,9,2013-12-14 12:27:39
130,2C,2,1,11,11,2013-12-14 12:21:15
131,3C,11,1,15,10,2013-12-14 12:33:54
132,4I,13,1,13,12,2013-12-14 12:29:59
133,1C,29,1,11,14,2013-12-14 12:22:27
134,2C,2,1,13,12,2013-12-14 12:24:58
135,3C,17,0,-1,-1,NULL
136,4C,9,0,-1,-1,NULL
137,1C,30,0,-1,-1,NULL
138,2C,15,0,-1,-1,NULL
139,3C,1,0,-1,-1,NULL
140,4C,9,0,-1,-1,NULL
141,1C,26,1,14,11,2013-12-14 12:50:20
142,2C,19,1,12,13,2013-12-14 12:52:03
143,3C,6,1,17,8,2013-12-14 12:53:47
144,4J,25,1,11,14,2013-12-14 12:55:37
145,1C,7,1,15,10,2013-12-14 12:55:15
146,2C,11,1,14,11,2013-12-14 12:57:43
147,3C,26,1,14,11,2013-12-14 13:00:54
148,4J,24,1,9,16,2013-12-14 13:02:16
149,1C,17,1,13,12,2013-12-14 13:22:49
150,2C,5,1,10,15,2013-12-14 13:25:21
151,3I,25,1,13,12,2013-12-14 13:28:14
152,4C,1,1,11,14,2013-12-14 13:30:47
153,1I,28,1,12,13,2013-12-14 13:26:44
154,2I,22,1,18,7,2013-12-14 13:29:52
155,3I,2,1,12,13,2013-12-14 13:32:32
156,4J,29,1,15,10,2013-12-14 13:34:11
157,1C,7,1,13,12,2013-12-14 13:29:20
158,2C,1,1,15,10,2013-12-14 13:31:55
159,3C,20,1,12,13,2013-12-14 13:35:01
160,4I,12,1,12,13,2013-12-14 13:38:26
161,1C,23,1,14,11,2013-12-14 13:50:25
162,2C,6,1,14,11,2013-12-14 13:42:40
163,3C,8,1,12,13,2013-12-14 13:47:09
164,4I,19,1,11,14,2013-12-14 13:53:30
165,1I,22,1,17,7,2013-12-14 13:48:33
166,2I,30,1,18,7,2013-12-14 13:46:03
167,3C,3,1,12,13,2013-12-14 13:51:08
168,4I,12,1,9,16,2013-12-14 13:43:36
169,1I,20,0,-1,-1,NULL
170,2I,17,0,-1,-1,NULL
171,3I,11,1,8,17,2013-12-14 15:41:29
172,4J,25,1,12,12,2013-12-14 15:37:50
173,1I,27,1,19,6,2013-12-14 15:40:49
174,2I,24,1,16,9,2013-12-14 15:39:37
175,3I,18,1,12,13,2013-12-14 15:37:54
176,4J,29,1,16,9,2013-12-14 15:35:26
177,1C,21,1,12,13,2013-12-14 15:53:54
178,2C,17,1,12,13,2013-12-14 15:57:50
179,3I,23,1,9,15,2013-12-14 16:01:37
180,4I,13,0,-1,-1,NULL
181,1I,19,1,18,7,2013-12-14 15:54:06
182,2I,13,1,14,11,2013-12-14 15:57:31
183,3C,24,1,12,13,2013-12-14 16:00:23
184,4I,16,1,14,11,2013-12-14 16:02:18
185,1C,21,1,15,10,2013-12-14 15:59:27
186,2C,15,1,10,15,2013-12-14 16:00:15
187,3C,12,1,10,15,2013-12-14 16:01:00
188,4I,18,1,11,14,2013-12-14 16:01:45
189,1I,26,1,15,9,2013-12-14 16:00:55
190,2I,29,1,15,10,2013-12-14 16:04:08
191,3C,8,1,12,13,2013-12-14 16:07:08
192,4J,23,1,14,11,2013-12-14 16:09:27
193,1I,6,1,12,12,2013-12-14 16:01:40
194,2I,29,1,15,10,2013-12-14 16:06:57
195,3I,26,1,12,13,2013-12-14 16:09:35
196,4C,9,1,12,13,2013-12-14 16:10:58
197,1C,26,1,12,13,2013-12-14 16:00:46
198,2C,17,1,13,12,2013-12-14 16:02:36
199,3C,9,1,13,12,2013-12-14 16:04:54
200,4C,6,1,13,12,2013-12-14 16:06:53
201,1C,23,1,12,13,2013-12-14 16:05:48
202,2C,15,1,13,12,2013-12-14 16:01:57
203,3I,24,1,14,11,2013-12-14 16:09:24
204,4C,7,0,-1,-1,NULL
205,1I,11,1,17,8,2013-12-14 16:06:27
206,2I,6,1,8,17,2013-12-14 16:11:49
207,3C,2,1,10,15,2013-12-14 16:15:26
208,4J,22,1,18,7,2013-12-14 16:03:14
209,1I,10,1,15,8,2013-12-14 16:02:47
210,2I,16,1,17,8,2013-12-14 16:06:27
211,3C,5,1,13,12,2013-12-14 16:09:56
212,4I,20,1,12,13,2013-12-14 16:11:53
213,1I,24,1,12,13,2013-12-14 16:03:47
214,2I,15,1,12,13,2013-12-14 16:05:13
215,3I,9,1,13,12,2013-12-14 16:06:35
216,4J,22,1,16,9,2013-12-14 16:07:43
217,1I,18,1,13,11,2013-12-14 16:05:45
218,2I,9,1,17,8,2013-12-14 16:09:07
219,3I,11,1,9,16,2013-12-14 16:11:39
220,4J,29,1,14,11,2013-12-14 16:13:52
221,1I,30,1,14,10,2013-12-14 16:07:39
222,2I,17,1,9,16,2013-12-14 16:11:10
223,3I,13,1,11,14,2013-12-14 16:15:31
224,4J,28,1,12,13,2013-12-14 16:18:43
225,1I,11,1,18,7,2013-12-14 16:17:54
226,2I,18,1,13,12,2013-12-14 16:13:47
227,3I,7,1,12,13,2013-12-14 16:25:54
228,4C,4,1,12,13,2013-12-14 16:22:09
229,1C,12,1,14,11,2013-12-14 16:37:00
230,2C,10,1,14,11,2013-12-14 16:31:25
231,3I,18,1,14,11,2013-12-14 16:28:11
232,4I,17,1,10,15,2013-12-14 16:20:44
233,1C,5,1,14,11,2013-12-14 16:17:32
234,2C,28,1,14,11,2013-12-14 16:14:37
235,3C,25,1,14,11,2013-12-14 16:20:10
236,4J,24,1,13,12,2013-12-14 16:21:17
237,1I,8,1,12,10,2013-12-14 16:24:46
238,2I,9,1,11,14,2013-12-14 16:29:30
239,3C,26,1,13,12,2013-12-14 16:31:30
240,4I,17,1,15,10,2013-12-14 16:32:48
241,1I,22,0,-1,-1,NULL
242,2I,7,0,-1,-1,NULL
243,3C,29,0,-1,-1,NULL
244,4J,27,0,-1,-1,NULL
245,1C,29,1,15,10,2013-12-14 16:30:44
246,2C,25,1,16,9,2013-12-14 16:33:03
247,3I,18,1,15,10,2013-12-14 16:35:35
248,4C,2,1,13,12,2013-12-14 16:38:33
249,1I,23,0,-1,-1,NULL
250,2I,16,0,-1,-1,NULL
251,3I,13,0,-1,-1,NULL
252,4J,26,0,-1,-1,NULL
253,1I,8,1,16,9,2013-12-14 16:34:39
254,2I,3,1,13,12,2013-12-14 16:36:21
255,3I,15,1,12,13,2013-12-14 16:37:56
256,4C,6,1,16,9,2013-12-14 16:39:03
257,1I,1,1,13,12,2013-12-14 16:49:29
258,2I,15,1,15,10,2013-12-14 16:44:27
259,3C,14,1,13,12,2013-12-14 16:52:55
260,4C,3,1,8,17,2013-12-14 16:54:35
261,1I,13,1,16,9,2013-12-15 16:49:15
262,2I,27,1,12,13,2013-12-15 16:45:48
263,3I,30,1,15,10,2013-12-15 16:41:56
264,4C,4,1,18,7,2013-12-14 16:41:51
265,1I,1,1,12,12,2013-12-14 17:26:16
266,2I,2,0,-1,-1,NULL
267,3C,14,1,10,15,2013-12-14 17:29:33
268,4I,20,1,15,10,2013-12-14 16:44:28
269,1C,22,0,-1,-1,NULL
270,2C,25,0,-1,-1,NULL
271,3I,2,0,-1,-1,NULL
272,4C,10,1,10,15,2013-12-14 16:45:50
273,1C,27,1,17,8,2013-12-14 16:43:40
274,2C,15,1,14,11,2013-12-14 16:46:20
275,3C,18,1,13,12,2013-12-14 16:51:22
276,4J,28,1,11,14,2013-12-14 16:48:21
277,1C,21,1,14,11,2013-12-14 16:52:01
278,2C,22,1,16,9,2013-12-14 16:55:19
279,3I,10,1,15,10,2013-12-14 17:00:25
280,4I,18,1,10,15,2013-12-14 17:04:52
281,1I,3,1,11,14,2013-12-14 16:54:36
282,2I,29,1,10,14,2013-12-14 16:52:56
283,3C,4,1,13,12,2013-12-14 16:56:15
284,4J,21,1,14,10,2013-12-14 16:58:57
285,1I,16,1,11,12,2013-12-14 17:05:22
286,2I,17,1,9,16,2013-12-14 16:55:37
287,3I,8,1,12,13,2013-12-14 16:59:39
288,4J,22,1,16,9,2013-12-14 17:02:59
