id,series,index,round,date,price,diff,result,expert
1,1,IBEX,1,2007-02-14,14905.7,0.55,1,1
2,1,IBEX,2,2007-02-15,14876.9,-0.19,-1,-1
3,1,IBEX,3,2007-02-16,14851.2,-0.17,-1,1
4,1,IBEX,4,2007-02-19,14915.8,0.43,1,1
5,1,IBEX,5,2007-02-20,14886.1,-0.2,-1,-1
6,1,IBEX,6,2007-02-21,14788.8,-0.65,-1,-1
7,1,IBEX,7,2007-02-22,14791.3,0.02,1,1
8,1,IBEX,8,2007-02-23,14767.1,-0.16,-1,-1
9,1,IBEX,9,2007-02-26,14856.1,0.6,1,1
10,1,IBEX,10,2007-02-27,14408.3,-3.01,-1,-1
11,1,IBEX,11,2007-02-28,14248.4,-1.11,-1,1
12,1,IBEX,12,2007-03-01,14064.9,-1.29,-1,-1
13,1,IBEX,13,2007-03-02,13962.2,-0.73,-1,1
14,1,IBEX,14,2007-03-05,13749.1,-1.53,-1,1
15,1,IBEX,15,2007-03-06,13825.9,0.56,1,-1
16,1,IBEX,16,2007-03-07,13912.7,0.63,1,1
17,1,IBEX,17,2007-03-08,14194.0,2.02,1,1
18,1,IBEX,18,2007-03-09,14257.2,0.45,1,-1
19,1,IBEX,19,2007-03-12,14146.5,-0.78,-1,-1
20,1,IBEX,20,2007-03-13,13982.9,-1.16,-1,1
21,1,IBEX,21,2007-03-14,13602.4,-2.72,-1,-1
22,1,IBEX,22,2007-03-15,13940.4,2.48,1,1
23,1,IBEX,23,2007-03-16,13977.4,0.27,1,-1
24,1,IBEX,24,2007-03-19,14250.2,1.95,1,1
25,1,IBEX,25,2007-03-20,14323.2,0.51,1,-1
26,1,IBEX,26,2007-03-21,14310.5,-0.09,-1,1
27,1,IBEX,27,2007-03-22,14490.1,1.26,1,-1
28,1,IBEX,28,2007-03-23,14545.7,0.38,1,1
29,1,IBEX,29,2007-03-26,14469.6,-0.52,-1,1
30,1,IBEX,30,2007-03-27,14536.8,0.46,1,-1
31,2,IBEX,1,2007-03-27,14536.8,0.46,1,-1
32,2,IBEX,2,2007-03-28,14483.0,-0.37,-1,-1
33,2,IBEX,3,2007-03-29,14605.3,0.84,1,-1
34,2,IBEX,4,2007-03-30,14641.7,0.25,1,1
35,2,IBEX,5,2007-04-02,14730.8,0.61,1,1
36,2,IBEX,6,2007-04-03,14953.2,1.51,1,-1
37,2,IBEX,7,2007-04-04,14943.1,-0.07,-1,-1
38,2,IBEX,8,2007-04-05,14974.9,0.21,1,1
39,2,IBEX,9,2007-04-10,15005.5,0.2,1,-1
40,2,IBEX,10,2007-04-11,14997.6,-0.05,-1,-1
41,2,IBEX,11,2007-04-12,14883.0,-0.76,-1,-1
42,2,IBEX,12,2007-04-13,14965.3,0.55,1,1
43,2,IBEX,13,2007-04-16,15020.8,0.37,1,-1
44,2,IBEX,14,2007-04-17,14966.0,-0.36,-1,1
45,2,IBEX,15,2007-04-18,14870.4,-0.64,-1,1
46,2,IBEX,16,2007-04-19,14821.7,-0.33,-1,-1
47,2,IBEX,17,2007-04-20,15080.9,1.75,1,-1
48,2,IBEX,18,2007-04-23,14987.1,-0.62,-1,-1
49,2,IBEX,19,2007-04-24,14578.7,-2.73,-1,-1
50,2,IBEX,20,2007-04-25,14620.4,0.29,1,1
51,2,IBEX,21,2007-04-26,14611.0,-0.06,-1,-1
52,2,IBEX,22,2007-04-27,14403.6,-1.42,-1,1
53,2,IBEX,23,2007-04-30,14374.6,-0.2,-1,1
54,2,IBEX,24,2007-05-02,14416.9,0.29,1,-1
55,2,IBEX,25,2007-05-03,14395.6,-0.15,-1,-1
56,2,IBEX,26,2007-05-04,14620.3,1.56,1,-1
57,2,IBEX,27,2007-05-07,14672.1,0.35,1,-1
58,2,IBEX,28,2007-05-08,14556.7,-0.79,-1,1
59,2,IBEX,29,2007-05-09,14609.4,0.36,1,1
60,2,IBEX,30,2007-05-10,14575.4,-0.23,-1,-1
61,3,IBEX,1,2008-01-16,13817.1,-0.92,-1,-1
62,3,IBEX,2,2008-01-17,13775.6,-0.3,-1,1
63,3,IBEX,3,2008-01-18,13655.4,-0.87,-1,1
64,3,IBEX,4,2008-01-21,12625.8,-7.54,-1,1
65,3,IBEX,5,2008-01-22,12839.7,1.69,1,1
66,3,IBEX,6,2008-01-23,12254.6,-4.56,-1,-1
67,3,IBEX,7,2008-01-24,13106.7,6.95,1,1
68,3,IBEX,8,2008-01-25,13141.1,0.26,1,-1
69,3,IBEX,9,2008-01-28,13026.7,-0.87,-1,-1
70,3,IBEX,10,2008-01-29,13246.6,1.69,1,-1
71,3,IBEX,11,2008-01-30,13217.1,-0.22,-1,-1
72,3,IBEX,12,2008-01-31,13229.0,0.09,1,1
73,3,IBEX,13,2008-02-01,13494.7,2.01,1,1
74,3,IBEX,14,2008-02-04,13515.7,0.16,1,1
75,3,IBEX,15,2008-02-05,12814.7,-5.19,-1,-1
76,3,IBEX,16,2008-02-06,13037.3,1.74,1,-1
77,3,IBEX,17,2008-02-07,12889.5,-1.13,-1,1
78,3,IBEX,18,2008-02-08,12934.8,0.35,1,1
79,3,IBEX,19,2008-02-11,12818.8,-0.9,-1,-1
80,3,IBEX,20,2008-02-12,13254.7,3.4,1,1
81,3,IBEX,21,2008-02-13,13266.7,0.09,1,-1
82,3,IBEX,22,2008-02-14,13313.2,0.35,1,1
83,3,IBEX,23,2008-02-15,13073.9,-1.8,-1,1
84,3,IBEX,24,2008-02-18,13312.2,1.82,1,1
85,3,IBEX,25,2008-02-19,13269.7,-0.32,-1,-1
86,3,IBEX,26,2008-02-20,13080.4,-1.43,-1,-1
87,3,IBEX,27,2008-02-21,13173.0,0.71,1,1
88,3,IBEX,28,2008-02-22,13017.5,-1.18,-1,-1
89,3,IBEX,29,2008-02-25,13156.6,1.07,1,-1
90,3,IBEX,30,2008-02-26,13436.6,2.13,1,-1
91,4,IBEX,1,2008-02-26,13436.6,2.13,1,-1
92,4,IBEX,2,2008-02-27,13454.3,0.13,1,1
93,4,IBEX,3,2008-02-28,13395.6,-0.44,-1,1
94,4,IBEX,4,2008-02-29,13170.4,-1.68,-1,-1
95,4,IBEX,5,2008-03-03,12862.5,-2.34,-1,1
96,4,IBEX,6,2008-03-04,12630.1,-1.81,-1,-1
97,4,IBEX,7,2008-03-05,12948.1,2.52,1,1
98,4,IBEX,8,2008-03-06,12803.3,-1.12,-1,1
99,4,IBEX,9,2008-03-07,12691.3,-0.87,-1,1
100,4,IBEX,10,2008-03-10,12655.0,-0.29,-1,1
101,4,IBEX,11,2008-03-11,13056.1,3.17,1,-1
102,4,IBEX,12,2008-03-12,13131.3,0.58,1,1
103,4,IBEX,13,2008-03-13,13073.2,-0.44,-1,-1
104,4,IBEX,14,2008-03-14,13021.4,-0.4,-1,-1
105,4,IBEX,15,2008-03-17,12656.0,-2.81,-1,1
106,4,IBEX,16,2008-03-18,13030.5,2.96,1,-1
107,4,IBEX,17,2008-03-19,12964.7,-0.5,-1,1
108,4,IBEX,18,2008-03-20,12964.2,0.0,-1,-1
109,4,IBEX,19,2008-03-25,13434.2,3.63,1,1
110,4,IBEX,20,2008-03-26,13403.0,-0.23,-1,-1
111,4,IBEX,21,2008-03-27,13537.9,1.01,1,1
112,4,IBEX,22,2008-03-28,13442.4,-0.71,-1,1
113,4,IBEX,23,2008-03-31,13269.0,-1.29,-1,-1
114,4,IBEX,24,2008-04-01,13699.1,3.24,1,1
115,4,IBEX,25,2008-04-02,13838.7,1.02,1,1
116,4,IBEX,26,2008-04-03,13738.9,-0.72,-1,-1
117,4,IBEX,27,2008-04-04,13846.4,0.78,1,-1
118,4,IBEX,28,2008-04-07,13919.6,0.53,1,1
119,4,IBEX,29,2008-04-08,13759.4,-1.15,-1,-1
