id,gender,age_range,education_level,question_1,question_2,question_3,question_4,question_5,question_6,question_7,question_8,question_9,question_10,question_11,score,1st_scenario_id,2nd_scenario_id,3rd_scenario_id,4th_scenario_id,init_time,end_time,finished
1,h,re3,ne4,1,1,1,1,0,2,NULL,NULL,NULL,NULL,NULL,2000,1,2,3,4,2013-12-13 22:12:49,NULL,0
3,h,re1,ne5,1,0,1,2,0,0,NULL,NULL,NULL,NULL,NULL,1017,9,10,11,12,2013-12-14 09:20:04,NULL,0
4,d,re0,ne1,1,2,1,2,0,2,NULL,NULL,NULL,NULL,NULL,1000,13,14,15,16,2013-12-14 09:43:47,NULL,0
5,d,re0,ne1,1,0,1,2,0,0,NULL,NULL,NULL,NULL,NULL,1940,17,18,19,20,2013-12-14 09:52:52,NULL,0
6,d,re0,ne1,1,0,1,2,0,0,NULL,NULL,NULL,NULL,NULL,1752,21,22,23,24,2013-12-14 09:52:59,NULL,0
7,h,re0,ne1,1,1,1,2,1,1,0,0,3,1,1,649,25,26,27,28,2013-12-14 10:09:35,2013-12-14 10:26:29,1
8,h,re3,ne4,1,2,1,2,2,2,1,1,4,1,2,2079,29,30,31,32,2013-12-14 10:09:51,2013-12-14 10:29:39,1
9,d,re0,ne1,1,0,1,2,0,0,0,0,2,3,0,1184,33,34,35,36,2013-12-14 10:10:10,2013-12-14 10:22:05,1
10,h,re0,ne0,1,0,1,0,0,0,NULL,NULL,NULL,NULL,NULL,1380,37,38,39,40,2013-12-14 10:12:18,NULL,0
11,h,re0,ne1,1,0,1,1,1,1,0,0,4,1,0,838,41,42,43,44,2013-12-14 10:14:16,2013-12-14 11:22:20,1
12,h,re2,ne4,1,2,0,1,1,1,NULL,NULL,NULL,NULL,NULL,921,45,46,47,48,2013-12-14 10:33:47,NULL,0
13,h,re2,ne3,0,2,1,2,0,0,0,0,1,2,0,3597,49,50,51,52,2013-12-14 10:42:50,2013-12-14 11:00:51,1
14,h,re2,ne4,1,1,0,1,0,0,0,0,4,0,0,1464,53,54,55,56,2013-12-14 10:43:07,2013-12-14 10:58:34,1
15,d,re2,ne3,1,1,1,1,0,1,0,0,1,3,0,2302,57,58,59,60,2013-12-14 10:43:38,2013-12-14 11:06:46,1
16,h,re2,ne3,1,1,1,0,0,0,2,1,2,2,2,587,61,62,63,64,2013-12-14 10:45:08,2013-12-14 11:01:55,1
17,d,re1,ne2,1,0,1,2,0,2,1,2,0,0,2,978,65,66,67,68,2013-12-14 10:45:14,2013-12-14 11:01:59,1
18,h,re3,ne4,1,0,1,1,2,2,NULL,NULL,NULL,NULL,NULL,1128,69,70,71,72,2013-12-14 10:50:13,NULL,0
